Rank,Male Name,Number of Males,Female Name,Number of Females
1,Michael,"833,061",Lisa,"496,976"
2,David,"733,933",Mary,"355,235"
3,John,"713,376",Susan,"287,649"
4,James,"684,721",Karen,"286,050"
5,Robert,"650,751",Kimberly,"259,069"
6,Mark,"441,378",Patricia,"231,163"
7,William,"421,407",Linda,"225,439"
8,Richard,"373,890",Donna,"213,466"
9,Thomas,"327,043",Michelle,"208,292"
10,Jeffrey,"302,004",Cynthia,"196,600"
11,Steven,"290,592",Sandra,"183,843"
12,Joseph,"283,043",Deborah,"183,430"
13,Timothy,"276,814",Tammy,"182,222"
14,Kevin,"271,397",Pamela,"181,935"
15,Scott,"266,824",Lori,"176,560"
16,Brian,"258,116",Laura,"174,181"
17,Charles,"249,393",Elizabeth,"168,909"
18,Paul,"242,509",Julie,"166,144"
19,Daniel,"242,013",Brenda,"164,495"
20,Christopher,"237,147",Jennifer,"164,410"
21,Kenneth,"227,515",Barbara,"159,766"
22,Anthony,"203,145",Angela,"159,284"
23,Gregory,"187,489",Sharon,"154,895"
24,Ronald,"182,170",Debra,"153,768"
25,Donald,"172,619",Teresa,"151,789"
26,Gary,"166,019",Nancy,"142,720"
27,Stephen,"152,227",Christine,"139,334"
28,Eric,"152,207",Cheryl,"135,644"
29,Edward,"143,976",Denise,"128,820"
30,Douglas,"134,990",Kelly,"128,053"
31,Todd,"128,739",Tina,"126,399"
32,Patrick,"122,710",Kathleen,"120,947"
33,George,"113,016",Melissa,"119,204"
34,Keith,"112,572",Robin,"118,323"
35,Larry,"108,578",Amy,"116,778"
36,Matthew,"105,947",Diane,"114,447"
37,Terry,"101,474",Dawn,"114,291"
38,Andrew,"97,108",Carol,"112,332"
39,Dennis,"94,986",Tracy,"103,775"
40,Randy,"93,881",Kathy,"101,126"
41,Jerry,"93,538",Rebecca,"99,461"
42,Peter,"92,410",Theresa,"97,117"
43,Frank,"87,154",Kim,"94,384"
44,Craig,"84,705",Rhonda,"93,605"
45,Raymond,"81,784",Stephanie,"92,819"
46,Jeffery,"79,526",Cindy,"91,594"
47,Bruce,"74,634",Janet,"89,313"
48,Rodney,"72,189",Wendy,"88,962"
49,Mike,"71,457",Maria,"88,830"
50,Roger,"71,440",Michele,"86,990"
51,Tony,"70,572",Jacqueline,"84,393"
52,Ricky,"66,393",Debbie,"84,209"
53,Steve,"65,625",Margaret,"81,866"
54,Jeff,"62,075",Paula,"80,512"
55,Troy,"61,409",Sherry,"77,524"
56,Alan,"61,390",Catherine,"76,784"
57,Carl,"60,780",Carolyn,"75,263"
58,Danny,"60,723",Laurie,"74,446"
59,Russell,"60,446",Sheila,"74,075"
60,Chris,"56,349",Ann,"72,082"
61,Bryan,"55,301",Jill,"69,146"
62,Gerald,"55,297",Connie,"65,289"
63,Wayne,"54,750",Diana,"65,035"
64,Joe,"53,385",Terri,"63,738"
65,Randall,"52,045",Suzanne,"59,760"
66,Lawrence,"51,344",Andrea,"58,405"
67,Dale,"50,417",Beth,"58,382"
68,Phillip,"50,393",Janice,"57,965"
69,Johnny,"49,841",Valerie,"56,585"
70,Vincent,"49,474",Renee,"55,814"
71,Martin,"49,108",Leslie,"54,452"
72,Bradley,"48,722",Christina,"52,784"
73,Billy,"48,464",Gina,"52,368"
74,Glenn,"48,092",Lynn,"51,930"
75,Shawn,"47,791",Annette,"51,916"
76,Jimmy,"47,394",Cathy,"51,623"
77,Jonathan,"47,386",Katherine,"50,616"
78,Sean,"47,283",Judy,"50,323"
79,Curtis,"47,244",Carla,"47,903"
80,Barry,"47,221",Wanda,"47,769"
81,Bobby,"46,387",Anne,"47,766"
82,Walter,"45,927",Dana,"47,700"
83,Jon,"44,880",Joyce,"46,124"
84,Philip,"44,775",Regina,"45,826"
85,Samuel,"44,247",Beverly,"45,240"
86,Jay,"42,711",Monica,"45,189"
87,Jason,"42,536",Bonnie,"45,086"
88,Dean,"42,523",Kathryn,"44,863"
89,Jose,"42,034",Anita,"44,412"
90,Tim,"41,581",Sarah,"43,913"
91,Roy,"40,038",Darlene,"43,528"
92,Willie,"39,814",Jane,"43,335"
93,Arthur,"39,618",Sherri,"41,630"
94,Darryl,"39,194",Martha,"41,039"
95,Henry,"39,133",Anna,"40,923"
96,Darrell,"38,024",Colleen,"40,671"
97,Allen,"37,695",Vicki,"40,508"
