Rank,Male Name,Number of Males,Female Name,Number of Females
1,Robert,"576,374",Mary,"701,754"
2,John,"564,053",Dorothy,"368,874"
3,James,"515,302",Helen,"290,403"
4,William,"512,402",Betty,"283,096"
5,Charles,"298,030",Margaret,"245,009"
6,George,"261,945",Ruth,"218,521"
7,Joseph,"243,810",Virginia,"169,555"
8,Richard,"222,598",Doris,"151,191"
9,Edward,"197,348",Mildred,"147,156"
10,Donald,"191,817",Frances,"140,391"
11,Thomas,"161,109",Elizabeth,"139,672"
12,Frank,"151,830",Evelyn,"124,166"
13,Harold,"133,585",Anna,"123,895"
14,Paul,"132,386",Marie,"110,564"
15,Raymond,"124,213",Alice,"110,526"
16,Walter,"119,810",Jean,"105,999"
17,Jack,"115,983",Shirley,"98,601"
18,Henry,"104,552",Barbara,"97,210"
19,Kenneth,"99,489",Irene,"92,836"
20,Arthur,"97,112",Marjorie,"91,221"
21,Albert,"94,431",Florence,"88,295"
22,David,"88,737",Lois,"88,132"
23,Harry,"86,183",Martha,"86,788"
24,Eugene,"84,755",Rose,"85,306"
25,Ralph,"84,466",Lillian,"83,158"
26,Howard,"70,348",Louise,"82,895"
27,Carl,"69,851",Catherine,"78,881"
28,Willie,"67,993",Ruby,"76,737"
29,Louis,"67,693",Eleanor,"74,760"
30,Clarence,"66,574",Patricia,"74,732"
31,Earl,"63,602",Gladys,"72,561"
32,Roy,"63,259",Annie,"69,467"
33,Fred,"62,743",Josephine,"69,223"
34,Joe,"62,676",Thelma,"68,767"
35,Francis,"59,096",Edna,"68,629"
36,Lawrence,"56,867",Norma,"65,242"
37,Herbert,"56,531",Pauline,"64,075"
38,Leonard,"53,793",Lucille,"63,883"
39,Ernest,"53,653",Edith,"62,988"
40,Alfred,"50,156",Gloria,"62,859"
41,Anthony,"50,055",Ethel,"62,806"
42,Stanley,"49,456",Phyllis,"61,871"
43,Norman,"49,364",Grace,"60,060"
44,Gerald,"44,522",Hazel,"58,984"
45,Daniel,"43,407",June,"56,483"
46,Samuel,"43,362",Bernice,"55,842"
47,Bernard,"42,410",Marion,"55,178"
48,Billy,"42,096",Dolores,"51,988"
49,Melvin,"40,583",Rita,"50,587"
50,Marvin,"39,588",Lorraine,"49,939"
51,Warren,"38,775",Ann,"49,809"
52,Michael,"37,894",Esther,"49,230"
53,Leroy,"37,870",Beatrice,"49,229"
54,Russell,"37,208",Juanita,"48,547"
55,Leo,"36,960",Clara,"48,183"
56,Andrew,"35,952",Jane,"48,049"
57,Edwin,"35,255",Geraldine,"48,044"
58,Elmer,"34,919",Sarah,"46,768"
59,Peter,"34,068",Emma,"46,538"
60,Floyd,"33,157",Joan,"45,351"
61,Lloyd,"33,125",Joyce,"44,174"
62,Ray,"32,045",Nancy,"43,807"
63,Frederick,"31,512",Katherine,"42,745"
64,Theodore,"31,287",Gertrude,"42,459"
65,Clifford,"31,242",Elsie,"42,098"
66,Vernon,"29,432",Julia,"40,331"
67,Herman,"29,011",Agnes,"39,222"
68,Clyde,"28,955",Wilma,"39,127"
69,Chester,"28,435",Marian,"38,978"
70,Philip,"27,268",Bertha,"38,571"
71,Alvin,"26,872",Eva,"38,048"
72,Lester,"26,513",Willie,"37,814"
73,Wayne,"26,402",Audrey,"37,550"
74,Vincent,"26,237",Theresa,"36,667"
75,Gordon,"25,622",Vivian,"36,572"
76,Leon,"25,577",Wanda,"36,007"
77,Lewis,"25,328",Laura,"35,991"
78,Charlie,"25,176",Charlotte,"35,752"
79,Glenn,"25,157",Ida,"35,619"
80,Calvin,"24,785",Elaine,"34,907"
81,Martin,"24,242",Anne,"34,512"
82,Milton,"24,198",Marilyn,"34,202"
83,Lee,"23,556",Kathryn,"33,791"
84,Jesse,"23,170",Maxine,"33,743"
85,Dale,"22,753",Kathleen,"33,597"
86,Cecil,"22,528",Viola,"33,251"
87,Bill,"22,289",Pearl,"32,774"
88,Harvey,"21,786",Vera,"32,542"
89,Roger,"21,753",Bessie,"32,158"
90,Victor,"21,498",Myrtle,"30,569"
91,Benjamin,"21,028",Alma,"30,434"
92,Wallace,"20,916",Beverly,"30,205"
93,Ronald,"20,895",Violet,"30,022"
94,Sam,"20,844",Nellie,"29,689"
95,Allen,"20,092",Ella,"29,520"
96,Arnold,"19,531",Lillie,"29,382"
97,Willard,"18,441",Jessie,"29,289"
98,Gilbert,"18,233",Jeanne,"29,119"
99,Edgar,"18,037",Eileen,"28,588"
100,Oscar,"17,740",Ellen,"28,391"
101,Gene,"17,579",Lucy,"27,434"
102,Jerry,"17,449",Minnie,"26,905"
103,Douglas,"17,301",Sylvia,"26,841"
104,Johnnie,"17,294",Donna,"26,160"
105,Claude,"16,999",Leona,"26,031"
106,Don,"16,941",Rosemary,"25,965"
107,Eddie,"16,921",Stella,"25,901"
108,Roland,"16,879",Mattie,"25,526"
109,Everett,"16,471",Margie,"25,495"
110,Maurice,"16,161",Genevieve,"24,780"
111,Curtis,"16,138",Mabel,"24,522"
112,Marion,"16,035",Janet,"23,973"
113,Virgil,"15,992",Geneva,"23,273"
114,Wilbur,"15,713",Georgia,"23,229"
115,Manuel,"15,663",Bonnie,"23,172"
116,Stephen,"15,557",Carol,"22,978"
117,Jerome,"15,453",Velma,"22,875"
118,Homer,"15,145",Lena,"22,844"
119,Leslie,"15,065",Carolyn,"22,776"
120,Glen,"14,965",Mae,"22,759"
121,Jessie,"14,797",Jennie,"22,591"
122,Hubert,"14,696",Maria,"22,584"
123,Jose,"14,446",Christine,"22,334"
124,Jimmie,"14,358",Arlene,"21,960"
125,Sidney,"14,201",Peggy,"21,872"
126,Morris,"14,141",Marguerite,"21,785"
127,Hugh,"14,107",Opal,"21,542"
128,Max,"14,081",Sara,"21,101"
129,Bobby,"13,879",Loretta,"21,070"
130,Bob,"13,691",Harriet,"20,873"
131,Nicholas,"13,608",Rosa,"20,791"
132,Luther,"13,197",Muriel,"20,481"
133,Bruce,"13,179",Eunice,"20,172"
134,Junior,"12,925",Jeanette,"19,783"
135,Wesley,"12,861",Blanche,"19,619"
136,Rudolph,"12,561",Carrie,"19,126"
137,Alexander,"12,539",Emily,"18,754"
138,Franklin,"12,509",Beulah,"18,626"
139,Tom,"11,923",Billie,"18,471"
140,Irving,"11,898",Dora,"18,334"
141,Horace,"11,777",Roberta,"18,219"
142,Willis,"11,704",Hilda,"18,191"
143,Patrick,"11,460",Naomi,"18,184"
144,Steve,"11,354",Anita,"18,052"
145,Johnny,"11,342",Jacqueline,"17,882"
146,Dean,"11,155",Alberta,"17,861"
147,Julius,"10,982",Inez,"17,597"
148,Keith,"10,915",Delores,"16,462"
149,Oliver,"10,900",Fannie,"16,456"
150,Earnest,"10,869",Hattie,"16,368"
151,Ben,"10,610",Lula,"16,316"
152,Jim,"10,566",Verna,"16,265"
153,Tony,"10,398",Cora,"16,160"
154,Edmund,"10,205",Constance,"15,570"
155,Lyle,"10,163",Madeline,"15,558"
156,Guy,"9,872",Miriam,"15,504"
157,Salvatore,"9,854",Ada,"15,134"
158,Orville,"9,722",Claire,"14,994"
159,Delbert,"9,678",Mamie,"14,806"
160,Billie,"9,548",Lola,"14,654"
161,Phillip,"9,525",Rosie,"14,290"
162,Clayton,"9,414",Erma,"14,260"
163,Otis,"9,352",Rachel,"14,199"
164,Archie,"9,293",Mable,"14,010"
165,Alex,"9,182",Flora,"13,962"
166,Angelo,"9,130",Daisy,"13,659"
