Rank,Male Name,Number of Males,Female Name,Number of Females
114,Jerome,"29,701",Jeanne,"37,669"
115,Bradley,"29,505",Charlotte,"36,998"
116,Clarence,"29,485",Eileen,"36,567"
117,Don,"29,451",Lois,"36,201"
118,Theodore,"29,046",Colleen,"35,914"
119,Jon,"28,947",Stephanie,"35,557"
120,Rickey,"27,954",Annette,"35,343"
121,Joel,"27,859",Glenda,"35,227"
122,Jesse,"26,651",Yvonne,"35,040"
123,Jim,"26,219",Dianne,"34,490"
124,Edwin,"26,214",Tina,"33,990"
125,Dan,"26,011",Beth,"33,985"
126,Chris,"25,902",Lorraine,"33,589"
127,Bernard,"25,887",Constance,"33,527"
128,Jonathan,"25,814",Renee,"32,949"
129,Gordon,"25,738",Charlene,"32,718"
130,Glen,"25,394",Joann,"32,673"
131,Jeff,"24,925",Julia,"32,455"
132,Warren,"24,601",Gwendolyn,"31,944"
133,Leroy,"24,587",Norma,"30,801"
134,Herbert,"24,297",Regina,"30,793"
135,Duane,"24,142",Amy,"30,581"
136,Bill,"23,881",Loretta,"30,393"
137,Benjamin,"23,831",Sheryl,"30,382"
138,Tom,"23,753",Carla,"29,433"
139,Alvin,"23,087",Andrea,"29,379"
140,Nicholas,"22,614",Tammy,"29,178"
141,Tim,"22,208",Irene,"26,976"
142,Mitchell,"21,963",Jan,"26,169"
143,Marc,"21,947",Louise,"25,853"
144,Leslie,"21,382",Juanita,"25,653"
145,Leon,"21,342",Marlene,"25,251"
146,Kim,"21,209",Penny,"25,124"
147,Dwight,"20,847",Rosemary,"25,017"
148,Bryan,"20,628",Becky,"24,838"
149,Lloyd,"20,619",Kay,"24,644"
150,Vernon,"20,134",Joy,"24,517"
151,Gene,"19,695",Geraldine,"24,222"
152,Reginald,"19,338",Jeanette,"23,985"
153,Lonnie,"19,198",Gayle,"23,728"
154,Guy,"19,152",Annie,"23,679"
155,Gilbert,"18,848",Vivian,"23,554"
156,Garry,"18,790",Claudia,"23,149"
157,Juan,"18,770",Lynda,"22,689"
158,Karl,"18,731",Melissa,"22,293"
159,Kent,"18,692",Audrey,"22,224"
160,Kurt,"18,641",Lynne,"22,195"
161,Todd,"18,569",Patsy,"21,733"
162,Jackie,"18,446",Melinda,"21,509"
163,Greg,"18,235",Vicky,"21,330"
164,Lewis,"18,134",Toni,"21,306"
165,Wesley,"18,074",June,"21,100"
166,Clyde,"17,906",Belinda,"20,942"
167,Floyd,"17,858",Marjorie,"20,941"
168,Neil,"17,716",Arlene,"20,653"
169,Allan,"17,693",Patti,"20,604"
170,Donnie,"17,169",Ruby,"20,549"
171,Perry,"17,079",Sara,"20,491"
172,Franklin,"17,010",Yolanda,"19,946"
173,Lester,"16,571",Rosa,"19,877"
174,Brad,"16,462",Melanie,"19,853"
175,Manuel,"16,375",Christina,"19,846"
176,Kirk,"16,224",Delores,"19,363"
177,Carlos,"15,822",Jackie,"19,304"
178,Leo,"15,536",Vanessa,"19,170"
179,Jimmie,"15,534",Carmen,"18,952"
180,Randolph,"15,495",Monica,"18,722"
181,Charlie,"15,284",Janis,"18,674"
182,Robin,"15,225",Holly,"18,635"
183,Dana,"15,159",Marianne,"18,478"
184,Darryl,"15,088",Dolores,"18,305"
185,Dave,"14,843",Shelley,"18,227"
186,Ted,"14,718",Veronica,"17,623"
187,Milton,"14,580",Mildred,"17,574"
188,Daryl,"14,504",Eva,"17,113"
189,Kerry,"14,416",Dana,"17,107"
190,Freddie,"14,405",Rachel,"16,776"
191,Brent,"14,335",Shelia,"16,753"
192,Harvey,"14,250",Roxanne,"16,607"
193,Gerard,"14,216",Carole,"16,535"
194,Stuart,"14,072",Lillian,"16,508"
195,Johnnie,"14,048",Josephine,"16,412"
196,Herman,"13,832",Carrie,"16,179"
197,Lynn,"13,775",Patty,"16,106"
198,Rex,"13,500",Sherri,"16,105"
199,Arnold,"13,195",Doreen,"16,090"
200,Kelly,"13,131",Grace,"15,928"
,,,,
