Rank,Male Name,Number of Males,Female Name,Number of Females
1,James,"843,731",Mary,"625,603"
2,Michael,"837,430",Linda,"564,353"
3,Robert,"830,364",Patricia,"459,671"
4,John,"797,882",Susan,"437,765"
5,David,"769,911",Deborah,"430,534"
6,William,"591,197",Barbara,"345,724"
7,Richard,"535,428",Debra,"341,343"
8,Thomas,"454,368",Karen,"332,525"
9,Mark,"382,566",Nancy,"286,807"
10,Charles,"361,172",Donna,"270,332"
11,Steven,"333,641",Cynthia,"263,425"
12,Gary,"329,927",Sandra,"251,591"
13,Joseph,"299,989",Pamela,"237,396"
14,Donald,"273,566",Sharon,"232,805"
15,Ronald,"271,131",Kathleen,"224,339"
16,Kenneth,"262,807",Carol,"222,649"
17,Paul,"253,176",Diane,"210,628"
18,Larry,"245,680",Brenda,"209,236"
19,Daniel,"243,706",Cheryl,"171,389"
20,Stephen,"207,266",Janet,"167,515"
21,Dennis,"204,258",Elizabeth,"165,658"
22,Timothy,"198,303",Kathy,"157,928"
23,Edward,"188,319",Margaret,"149,582"
24,Jeffrey,"184,655",Janice,"133,616"
25,George,"181,022",Carolyn,"124,069"
26,Gregory,"178,442",Denise,"123,781"
27,Kevin,"159,000",Judy,"118,059"
28,Douglas,"148,193",Rebecca,"115,689"
29,Terry,"140,722",Joyce,"114,980"
30,Anthony,"136,641",Teresa,"114,280"
31,Jerry,"136,569",Christine,"113,341"
32,Bruce,"136,452",Catherine,"108,838"
33,Randy,"120,528",Shirley,"108,807"
34,Brian,"112,330",Judith,"108,755"
35,Frank,"112,322",Betty,"103,201"
36,Scott,"111,814",Beverly,"97,786"
37,Roger,"110,151",Lisa,"95,821"
38,Raymond,"108,931",Laura,"95,525"
39,Peter,"102,748",Theresa,"89,601"
40,Patrick,"96,850",Connie,"88,801"
41,Keith,"91,228",Ann,"87,044"
42,Lawrence,"91,108",Gloria,"86,707"
43,Wayne,"88,096",Julie,"86,690"
44,Danny,"86,638",Gail,"85,618"
45,Alan,"83,974",Joan,"85,178"
46,Gerald,"82,623",Paula,"84,868"
47,Ricky,"79,162",Peggy,"84,292"
48,Carl,"78,751",Cindy,"83,977"
49,Christopher,"78,315",Martha,"83,188"
50,Dale,"75,563",Bonnie,"83,011"
51,Walter,"72,196",Jane,"82,920"
52,Craig,"69,478",Cathy,"82,718"
53,Willie,"66,458",Robin,"82,425"
54,Johnny,"65,781",Debbie,"82,098"
55,Arthur,"65,714",Diana,"80,235"
56,Steve,"64,222",Marilyn,"80,160"
57,Joe,"62,620",Kathryn,"77,801"
58,Randall,"62,449",Dorothy,"74,476"
59,Russell,"62,399",Wanda,"72,448"
60,Jack,"62,384",Jean,"72,264"
61,Henry,"62,230",Vicki,"71,979"
62,Harold,"62,178",Sheila,"70,173"
63,Roy,"61,845",Virginia,"69,783"
64,Andrew,"60,967",Sherry,"68,323"
65,Philip,"60,849",Katherine,"66,852"
66,Ralph,"60,438",Rose,"66,689"
67,Billy,"59,279",Lynn,"66,047"
68,Glenn,"58,710",Jo,"63,942"
69,Stanley,"57,161",Ruth,"62,535"
70,Jimmy,"54,889",Maria,"62,450"
71,Rodney,"54,815",Darlene,"61,885"
72,Barry,"54,806",Jacqueline,"60,460"
73,Samuel,"53,767",Rita,"60,267"
74,Eric,"53,296",Rhonda,"59,816"
75,Bobby,"53,281",Phyllis,"57,769"
76,Albert,"52,835",Helen,"57,576"
77,Phillip,"52,457",Vickie,"56,857"
78,Ronnie,"51,297",Kim,"56,080"
79,Martin,"50,987",Lori,"56,069"
80,Mike,"48,347",Ellen,"55,391"
81,Eugene,"48,281",Elaine,"54,234"
82,Louis,"47,928",Joanne,"53,570"
83,Howard,"47,855",Anne,"52,402"
84,Allen,"47,319",Valerie,"52,234"
85,Curtis,"46,318",Alice,"52,074"
86,Jeffery,"45,877",Frances,"51,200"
87,Frederick,"44,279",Suzanne,"50,329"
88,Leonard,"43,553",Marie,"49,264"
89,Harry,"43,333",Victoria,"49,126"
90,Micheal,"40,913",Kimberly,"48,957"
91,Tony,"40,782",Anita,"47,592"
92,Ernest,"39,678",Laurie,"46,961"
93,Eddie,"38,595",Michelle,"46,780"
94,Fred,"37,449",Sally,"46,705"
95,Darrell,"37,256",Terri,"46,431"
96,Jay,"36,968",Marcia,"43,734"
97,Melvin,"36,166",Terry,"43,192"
98,Lee,"35,824",Jennifer,"43,071"
99,Matthew,"35,793",Leslie,"43,046"
100,Vincent,"35,352",Doris,"42,896"
101,Tommy,"34,968",Maureen,"42,812"
102,Francis,"34,763",Wendy,"42,674"
103,Marvin,"34,704",Michele,"41,973"
104,Dean,"34,584",Anna,"41,702"
105,Rick,"34,367",Marsha,"41,553"
106,Victor,"33,882",Angela,"40,357"
107,Norman,"33,749",Sarah,"39,965"
108,Earl,"32,652",Sylvia,"39,538"
109,Jose,"31,437",Jill,"39,058"
110,Calvin,"30,554",Dawn,"38,899"
111,Ray,"29,914",Sue,"38,853"
112,Clifford,"29,859",Evelyn,"38,408"
113,Alfred,"29,752",Roberta,"37,914"
