Rank,Male Name,Number of Males,Female Name,Number of Females
1,John,"376,311",Mary,"478,636"
2,William,"303,018",Helen,"248,154"
3,James,"275,071",Dorothy,"207,476"
4,Robert,"239,185",Margaret,"189,234"
5,Joseph,"179,300",Ruth,"173,675"
6,George,"176,609",Mildred,"123,998"
7,Charles,"173,534",Anna,"118,998"
8,Edward,"125,720",Elizabeth,"116,811"
9,Frank,"116,017",Frances,"105,599"
10,Thomas,"91,619",Virginia,"94,322"
11,Walter,"89,145",Marie,"92,086"
12,Harold,"79,721",Evelyn,"91,492"
13,Henry,"79,667",Alice,"85,866"
14,Paul,"78,216",Florence,"81,465"
15,Richard,"74,603",Lillian,"75,914"
16,Raymond,"71,820",Rose,"74,690"
17,Albert,"68,207",Irene,"68,968"
18,Arthur,"67,478",Louise,"67,973"
19,Harry,"65,874",Edna,"66,897"
20,Donald,"57,002",Catherine,"65,823"
21,Ralph,"52,522",Gladys,"65,812"
22,Louis,"50,600",Ethel,"63,662"
23,Jack,"49,526",Josephine,"61,355"
24,Clarence,"49,196",Ruby,"60,308"
25,Carl,"48,454",Martha,"59,509"
26,Willie,"47,690",Grace,"57,973"
27,Howard,"46,596",Hazel,"57,068"
28,Fred,"44,345",Thelma,"57,011"
29,David,"43,853",Lucille,"56,147"
30,Kenneth,"43,248",Edith,"56,059"
31,Francis,"41,053",Eleanor,"54,163"
32,Roy,"40,340",Doris,"53,249"
33,Earl,"40,273",Annie,"52,301"
34,Joe,"38,250",Pauline,"50,075"
35,Ernest,"37,134",Gertrude,"49,565"
36,Lawrence,"36,354",Esther,"49,212"
37,Stanley,"35,908",Betty,"44,894"
38,Anthony,"35,627",Beatrice,"44,515"
39,Eugene,"35,160",Marjorie,"44,452"
40,Samuel,"34,166",Clara,"44,346"
41,Herbert,"33,860",Emma,"41,819"
42,Alfred,"32,635",Bernice,"40,346"
43,Leonard,"31,878",Bertha,"40,120"
44,Michael,"30,860",Ann,"39,506"
45,Elmer,"28,600",Jean,"39,284"
46,Andrew,"28,152",Elsie,"39,274"
47,Leo,"26,656",Julia,"39,259"
48,Bernard,"25,628",Agnes,"39,255"
49,Norman,"25,033",Lois,"38,179"
50,Peter,"24,935",Sarah,"38,120"
51,Russell,"24,842",Marion,"37,974"
52,Daniel,"23,978",Katherine,"36,884"
53,Edwin,"23,697",Eva,"34,909"
54,Frederick,"23,542",Ida,"34,792"
55,Chester,"23,500",Bessie,"33,859"
56,Herman,"22,598",Pearl,"33,834"
57,Lloyd,"21,743",Anne,"33,478"
58,Melvin,"21,739",Viola,"33,077"
59,Lester,"21,509",Myrtle,"32,432"
60,Floyd,"21,472",Nellie,"30,879"
61,Leroy,"21,275",Mabel,"30,783"
62,Theodore,"21,106",Laura,"30,549"
63,Clifford,"20,886",Kathryn,"29,235"
64,Clyde,"19,865",Stella,"28,526"
65,Charlie,"19,834",Vera,"28,289"
66,Sam,"18,544",Willie,"28,179"
67,Woodrow,"18,355",Jessie,"27,835"
68,Vincent,"18,285",Jane,"27,740"
69,Philip,"18,166",Alma,"27,515"
70,Marvin,"17,821",Minnie,"27,486"
71,Ray,"17,792",Sylvia,"25,655"
72,Lewis,"17,787",Ella,"24,913"
73,Milton,"17,522",Lillie,"24,651"
74,Benjamin,"17,310",Rita,"23,850"
75,Victor,"17,157",Leona,"23,825"
76,Vernon,"16,967",Barbara,"23,704"
77,Gerald,"16,522",Vivian,"23,634"
78,Jesse,"16,293",Lena,"23,624"
79,Martin,"16,097",Violet,"23,157"
80,Cecil,"15,987",Lucy,"23,117"
81,Alvin,"15,499",Jennie,"23,068"
82,Lee,"15,380",Genevieve,"22,830"
83,Willard,"15,364",Marguerite,"22,658"
84,Leon,"15,280",Charlotte,"22,548"
85,Oscar,"14,869",Mattie,"22,243"
86,Glenn,"14,304",Marian,"22,158"
87,Edgar,"14,080",Blanche,"21,977"
88,Gordon,"13,641",Mae,"21,530"
89,Stephen,"13,503",Ellen,"21,500"
90,Harvey,"13,304",Wilma,"21,384"
91,Sidney,"12,793",Juanita,"20,878"
92,Claude,"12,792",Opal,"20,386"
93,Everett,"12,748",June,"19,244"
94,Arnold,"12,586",Geraldine,"18,990"
95,Morris,"12,484",Beulah,"18,874"
96,Wilbur,"12,411",Velma,"18,631"
97,Warren,"12,012",Theresa,"18,348"
98,Wayne,"11,572",Carrie,"18,067"
99,Allen,"11,493",Phyllis,"17,885"
100,Homer,"11,471",Maxine,"17,800"
101,Maurice,"11,429",Nancy,"17,283"
102,Alexander,"11,352",Emily,"17,069"
103,Max,"10,859",Georgia,"16,673"
104,Virgil,"10,858",Fannie,"16,633"
105,Gilbert,"10,791",Kathleen,"16,592"
106,Irving,"10,737",Hattie,"16,418"
107,Leslie,"10,630",Inez,"16,342"
108,Eddie,"10,507",Sophie,"16,179"
109,Johnnie,"10,426",Rosa,"15,976"
110,Nicholas,"10,233",Lorraine,"15,729"
111,Hugh,"10,201",Hilda,"15,674"
112,Julius,"10,193",Harriet,"15,598"
113,Jessie,"10,170",Norma,"15,500"
114,Marion,"10,156",Eunice,"15,474"
115,Luther,"9,762",Sara,"15,409"
116,Steve,"9,638",Cora,"15,317"
117,Hubert,"9,597",Ada,"15,234"
118,Ben,"9,539",Geneva,"15,043"
119,Curtis,"8,911",Alberta,"14,575"
120,Roland,"8,799",Loretta,"14,570"
121,Jacob,"8,684",Mamie,"14,550"
122,Wallace,"8,681",Christine,"14,094"
123,Oliver,"8,657",Dora,"14,012"
124,Glen,"8,544",Lula,"13,930"
125,Horace,"8,489",Estelle,"13,807"
126,Roger,"8,408",Verna,"13,214"
127,Manuel,"8,371",Audrey,"13,139"
128,Dale,"8,218",Madeline,"13,042"
129,Franklin,"8,005",Shirley,"12,742"
130,Mike,"7,942",Eileen,"12,706"
131,Orville,"7,901",Daisy,"12,475"
132,Alex,"7,871",Sadie,"12,388"
133,Tom,"7,622",Olive,"12,355"
134,Wesley,"7,603",Naomi,"12,030"
135,Tony,"7,495",Lola,"11,765"
136,Edmund,"7,422",Flora,"11,761"
137,Jerome,"7,405",Lucile,"11,738"
138,Willis,"7,339",Olga,"11,733"
139,Nathan,"7,132",Mable,"11,718"
140,Otis,"6,963",Muriel,"11,701"
141,Archie,"6,933",Susie,"11,562"
142,Douglas,"6,908",Maggie,"11,485"
143,Rudolph,"6,857",Maria,"11,331"
144,Earnest,"6,856",Jeanette,"11,134"
145,Wilson,"6,835",Nora,"11,063"
146,Emil,"6,701",Miriam,"11,048"
147,Guy,"6,624",Erma,"10,953"
