Rank,Male Name,Number of Males,Female Name,Number of Females
148,Bill,"6,599",Dolores,"10,781"
149,Jerry,"6,486",Victoria,"10,766"
150,Matthew,"6,228",Wanda,"10,735"
151,Patrick,"6,121",Janet,"10,713"
152,Ira,"6,115",Lottie,"10,650"
153,Clifton,"6,104",Caroline,"10,591"
154,Angelo,"6,047",Rachel,"10,482"
155,Abraham,"6,040",Irma,"10,461"
156,Salvatore,"5,976",Henrietta,"10,400"
157,Jose,"5,899",Roberta,"10,370"
158,Jim,"5,764",Winifred,"10,255"
159,Jimmie,"5,734",Eula,"9,852"
160,Calvin,"5,713",Patricia,"9,707"
161,Don,"5,683",Rosie,"9,565"
162,Lyle,"5,657",Anita,"9,555"
163,Bennie,"5,647",Rebecca,"9,474"
164,Clayton,"5,641",Della,"9,450"
165,Marshall,"5,585",Nettie,"9,332"
166,Bruce,"5,577",Sally,"9,301"
167,Otto,"5,552",Fern,"9,250"
168,Sylvester,"5,420",Lydia,"9,025"
169,Clinton,"5,302",Adeline,"8,985"
170,Ronald,"5,301",Carolyn,"8,940"
171,Wilbert,"5,275",Amelia,"8,832"
172,Irvin,"5,259",Nina,"8,680"
173,Delbert,"5,257",Jeanne,"8,646"
174,Phillip,"5,135",Elaine,"8,576"
175,Ervin,"5,011",Goldie,"8,563"
176,Elbert,"4,990",Katie,"8,419"
177,Wilfred,"4,976",Bonnie,"8,335"
178,Isaac,"4,952",Antoinette,"8,216"
179,Ivan,"4,932",May,"8,096"
180,Felix,"4,928",Marcella,"8,080"
181,Rufus,"4,901",Lorene,"8,034"
182,August,"4,869",Essie,"7,999"
183,Forrest,"4,860",Arlene,"7,781"
184,Nathaniel,"4,795",Ollie,"7,760"
185,Dan,"4,737",Dorothea,"7,750"
186,Nelson,"4,731",Jeannette,"7,719"
187,Karl,"4,694",Veronica,"7,693"
188,Nick,"4,683",Effie,"7,683"
189,Julian,"4,650",Isabel,"7,668"
190,Merle,"4,645",Freda,"7,453"
191,Aaron,"4,570",Regina,"7,389"
192,Lonnie,"4,536",Sallie,"7,378"
193,Adolph,"4,523",Cleo,"7,368"
194,Adam,"4,480",Ora,"7,259"
195,Jay,"4,455",Isabelle,"7,255"
196,Ellis,"4,433",Rosemary,"7,079"
197,Alton,"4,417",Addie,"7,077"
198,Leland,"4,381",Eloise,"7,071"
199,Pete,"4,352",Joan,"7,022"
200,Bert,"4,327",Lela,"7,007"
"Source: 100% sample based on Social Security card application data as of 
   of March 2024.  See the limitations of
   this data source.",,,,
