Rank,Male Name,Number of Males,Female Name,Number of Females
1,Noah,"183,258",Emma,"194,988"
2,Liam,"173,939",Olivia,"184,487"
3,Jacob,"163,197",Sophia,"181,091"
4,William,"159,893",Isabella,"170,491"
5,Mason,"157,833",Ava,"155,802"
6,Ethan,"149,051",Mia,"129,044"
7,Michael,"145,106",Abigail,"118,690"
8,Alexander,"142,102",Emily,"117,599"
9,James,"139,624",Charlotte,"102,449"
10,Elijah,"137,025",Madison,"98,393"
11,Benjamin,"134,442",Elizabeth,"94,025"
12,Daniel,"133,865",Amelia,"93,813"
13,Aiden,"129,599",Evelyn,"86,946"
14,Logan,"126,795",Ella,"85,886"
15,Jayden,"126,032",Chloe,"85,275"
16,Matthew,"125,034",Harper,"85,168"
17,Lucas,"118,621",Avery,"82,894"
18,David,"116,661",Sofia,"82,376"
19,Jackson,"116,202",Grace,"73,007"
20,Joseph,"115,642",Addison,"70,989"
21,Anthony,"112,084",Victoria,"70,986"
22,Samuel,"108,068",Lily,"68,283"
23,Joshua,"106,192",Natalie,"68,113"
24,Gabriel,"105,547",Aubrey,"65,902"
25,Andrew,"105,019",Zoey,"64,934"
26,John,"102,731",Lillian,"64,929"
27,Christopher,"102,084",Hannah,"64,473"
28,Oliver,"98,127",Layla,"63,201"
29,Dylan,"96,334",Brooklyn,"60,299"
30,Carter,"95,227",Scarlett,"58,260"
31,Isaac,"94,508",Zoe,"58,083"
32,Luke,"93,247",Camila,"57,884"
33,Henry,"92,557",Samantha,"56,914"
34,Owen,"91,085",Riley,"56,129"
35,Ryan,"90,968",Leah,"56,015"
36,Nathan,"88,004",Aria,"52,233"
37,Wyatt,"87,711",Savannah,"51,838"
38,Caleb,"86,693",Audrey,"51,598"
39,Sebastian,"86,653",Anna,"51,273"
40,Jack,"85,669",Allison,"48,988"
41,Christian,"84,147",Gabriella,"48,103"
42,Jonathan,"79,832",Hailey,"47,735"
43,Julian,"79,502",Claire,"47,722"
44,Landon,"79,295",Penelope,"47,602"
45,Levi,"77,942",Aaliyah,"46,686"
46,Isaiah,"76,232",Sarah,"46,616"
47,Hunter,"74,861",Nevaeh,"44,966"
48,Aaron,"70,446",Kaylee,"44,599"
49,Thomas,"69,990",Stella,"44,208"
50,Charles,"69,988",Mila,"44,105"
51,Eli,"69,845",Nora,"44,072"
52,Jaxon,"69,147",Ellie,"43,219"
53,Connor,"68,254",Bella,"43,165"
54,Nicholas,"66,768",Lucy,"42,009"
55,Jeremiah,"66,733",Alexa,"41,993"
56,Grayson,"66,379",Arianna,"41,789"
57,Cameron,"66,175",Violet,"41,560"
58,Brayden,"65,985",Ariana,"41,325"
59,Adrian,"65,958",Genesis,"40,505"
60,Evan,"64,741",Alexis,"40,387"
61,Jordan,"64,468",Eleanor,"40,118"
62,Josiah,"63,059",Maya,"39,752"
63,Angel,"62,927",Caroline,"39,623"
64,Robert,"62,620",Peyton,"39,603"
65,Gavin,"62,316",Skylar,"39,407"
66,Tyler,"59,336",Madelyn,"39,188"
67,Austin,"59,099",Serenity,"38,858"
68,Colton,"58,439",Kennedy,"38,583"
69,Jose,"55,165",Taylor,"38,205"
70,Dominic,"55,154",Alyssa,"37,918"
71,Brandon,"54,102",Autumn,"37,670"
72,Ian,"52,452",Paisley,"37,556"
73,Lincoln,"51,997",Ashley,"37,222"
74,Hudson,"51,452",Brianna,"36,900"
75,Kevin,"51,301",Sadie,"36,566"
76,Zachary,"51,127",Naomi,"36,171"
77,Adam,"50,676",Kylie,"36,102"
78,Mateo,"50,592",Julia,"35,894"
79,Jason,"50,571",Sophie,"35,666"
80,Chase,"50,314",Mackenzie,"35,274"
81,Nolan,"50,028",Eva,"35,197"
82,Ayden,"49,609",Gianna,"34,654"
83,Cooper,"49,266",Luna,"34,162"
84,Parker,"49,220",Katherine,"34,135"
85,Xavier,"48,686",Hazel,"33,902"
86,Asher,"48,521",Khloe,"33,809"
87,Carson,"48,011",Ruby,"33,450"
88,Jace,"47,453",Piper,"33,081"
89,Easton,"46,785",Melanie,"33,072"
90,Justin,"45,573",Lydia,"32,703"
91,Leo,"44,693",Aubree,"32,635"
92,Bentley,"43,910",Madeline,"32,366"
93,Jaxson,"42,372",Aurora,"32,127"
94,Nathaniel,"41,861",Faith,"31,953"
95,Blake,"41,712",Alexandra,"30,962"
96,Elias,"40,904",Alice,"30,620"
97,Theodore,"40,517",Kayla,"30,278"
98,Kayden,"40,318",Jasmine,"29,370"
99,Luis,"39,061",Maria,"28,957"
100,Tristan,"38,667",Annabelle,"28,935"
101,Ezra,"38,624",Lauren,"28,900"
102,Bryson,"38,623",Reagan,"28,849"
103,Juan,"37,416",Elena,"28,788"
104,Brody,"37,245",Rylee,"28,547"
105,Vincent,"36,823",Isabelle,"28,497"
106,Micah,"36,713",Bailey,"28,293"
107,Miles,"36,586",Eliana,"28,221"
108,Santiago,"36,441",Sydney,"28,079"
109,Cole,"36,386",Makayla,"27,854"
110,Ryder,"36,040",Cora,"27,812"
111,Carlos,"35,289",Morgan,"27,631"
112,Damian,"35,266",Natalia,"27,374"
113,Leonardo,"35,218",Kimberly,"27,256"
114,Roman,"35,086",Vivian,"27,224"
115,Max,"34,128",Quinn,"27,220"
116,Sawyer,"34,021",Valentina,"27,216"
117,Jesus,"33,786",Andrea,"27,181"
118,Diego,"33,375",Willow,"27,046"
119,Greyson,"33,196",Clara,"26,648"
120,Alex,"32,577",London,"26,612"
121,Maxwell,"32,438",Jade,"26,536"
122,Axel,"31,799",Liliana,"26,426"
123,Eric,"31,534",Jocelyn,"26,351"
124,Wesley,"31,154",Trinity,"26,310"
125,Declan,"31,099",Kinsley,"26,290"
126,Giovanni,"30,398",Brielle,"26,046"
127,Ezekiel,"30,356",Mary,"25,667"
128,Braxton,"30,309",Molly,"25,549"
129,Ashton,"30,204",Hadley,"25,476"
130,Ivan,"29,904",Delilah,"24,995"
131,Hayden,"29,888",Emilia,"24,339"
132,Camden,"29,705",Josephine,"23,950"
133,Silas,"29,608",Brooke,"23,800"
134,Bryce,"29,027",Lilly,"23,489"
135,Weston,"28,800",Ivy,"23,468"
136,Harrison,"28,551",Adeline,"23,374"
137,Jameson,"28,535",Payton,"23,126"
138,George,"28,395",Lyla,"22,916"
139,Antonio,"28,328",Isla,"22,863"
140,Timothy,"28,213",Jordyn,"22,733"
141,Kaiden,"28,062",Paige,"22,607"
142,Jonah,"28,039",Isabel,"22,581"
143,Everett,"27,397",Mariah,"22,477"
144,Miguel,"26,936",Mya,"22,363"
145,Steven,"26,881",Nicole,"22,301"
146,Richard,"26,733",Valeria,"21,388"
147,Emmett,"26,156",Destiny,"21,088"
148,Victor,"26,131",Rachel,"21,055"
149,Kaleb,"26,021",Ximena,"21,020"
150,Kai,"25,963",Emery,"20,966"
151,Maverick,"25,946",Everly,"20,854"
152,Joel,"25,803",Sara,"20,718"
153,Bryan,"25,682",Angelina,"20,574"
154,Maddox,"25,667",Adalynn,"20,389"
155,Kingston,"25,620",Kendall,"20,249"
