Name
Abia
Abiah
Abigaia
Abigaïl
Abigail
Abijah
Abishag
Abital
Achinoam
Achsah
Adah
Agar
Ahinoam
Aholibamah
'Akhsah
Anah
Anna
Apphia
'Asenat
Asenath
Aseneth
Asenneth
'Ashtoret
Ashtoreth
Astarte
Atalyah
Atarah
Athaliah
'Avigayil
Avishag
Avital
'Aviyah
Azubah
Bala 2
Balla
Basemath
Basemmath
Bashemath
Basmat
Basmath
Bathsheba
Bat-Sheva
Bernice
Bernike
Bethsabée
Bethsabee
Beulah
Bila
Bilha
Bilhah
Bithiah
Bityah
Candace
Chaggit
Chamutal
Channah
Chawwah
Cheftzi-Bah
Chloe
Chodesh
Chuldah
Claudia
Cozbi
Dalida
Dalila
Damaris
Debbora
Deborah
Deina
Delilah
Devorah
Dina 1
Dinah
Dorcas
Dorkas
Drousilla
Drusilla
Edna
'Ednah
Efrat
Elisabet
Elisabeth
Elisabetĭ
Elisheba
Elisheva
Elizabeth
Ephrath
'Ester
Esther
Esthirŭ
Eua
Eunice
Eunike
Euodia
Eva
Eve
Gezabele
Gomer
Hadassah
Hagar
Haggith
Hammoleketh
Hamutal
Hannah
Helah
Hephzibah
Hepzibah
Herodias
Hester
Hiezabel
Hodesh
Hodiah
Hodiyah
Hoglah
Hosanna
Hulda 2
Huldah
Iael
Iahel
Idida
Iedida
Iezabel
Ioanna
Iohanna
Ioudith
Iounia
Iscah
Isebel
Iudith
Iudithŭ
Iunia
Ivah
Izebel
'Izevel
Jael
Jahel
Jecoliah
Jedidah
Jehoaddan
Jehosheba
Jehudijah
Jemima
Jerioth
Jerusha
Jescha
Jézabel
Jezabel
Jezebel
Joanna
Jochebed
Judith
Julia
Junia
Kandake
Kazbi
Keren-Happuch
Keren Happukh
Keturah
Ketzi'ah
Kezia
Keziah
Klaudia
Leah
Leia
Lia 1
Lidia
Lois 1
Lo-Ruhamah
Lydia
Maacah
Maachah
Ma'akhah
Maala
Machalat
Machlah
Maeleth
Magdalene
Magdalina
Mahalath
Mahlah
Mara 1
Maria
Mariam
Martha
Mary
Meheitav'el
Mehetabel
Mehitabel
Melcha
Melchol
Merab 1
Merav
Merob
Meshullemet
Meshullemeth
Micaiah
Micajah
Michaiah
Michal 2
Michol
Mikhal
Mikhayahu
Milcah
Milkah
Miriam
Na'amah
Naamah
Na'omi
Naomi 1
Noa 1
No'ah
Noah 2
Noemi
Noemin
Nympha
Oholibamah
'Orpah
Orpah
Orpha
Peninnah
Persis
Phebe
Phoebe
Phoibe
Prisca
Priscilla
Priska
Priskilla
Pu'ah
Puah
Rachel
Rahab
Rahel
Rebecca
Rebekah
Reumah
Rhachel
Rhebekka
Rhoda
Rhode
Rhouth
Rivqah
Rizpah
Rut
Ruth 1
Ruthĭ
Saffira
Salome
Sappheire
Sapphira
Sara
Sarah
Sarai
Sarra
Sarrha
Seera
Seffora
Selah
Sepphora
Sheerah
Shelomit
Shelomith
Sherah
Shifra
Shiloh
Shim'at
Shimeath
Shiphrah
Shoshannah
Shulamite
Shulammit
Shulammite
Silpa
Sousanna
Susanna
Susannah
Syntyche
Tabita
Tabitha
Tahpenes
Talitha
Tamar
Taphath
Thamar
Themar
Thersa
Tirtzah
Tirzah
Tryphaina
Tryphena
Tryphosa
Tzeruyah
Tzillah
Tzipporah
Tzivyah
Vashti
Washti
Yael
Yedidah
Yeho'addan
Yehosheva
Yehudit
Yehudiyah
Yekholyah
Yemima
Yeri'ot
Yerushah
Yiskah
Yocheved
Zebidah
Zebudah
Zelpha
Zeresh
Zeruiah
Zevidah
Zibiah
Zillah
Zilpa
Zilpah
Zipporah
