Rank,Male Name,Number of Males,Female Name,Number of Females
169,Donnie,"10,988",Janis,"14,862"
170,Elmer,"10,878",Leslie,"14,856"
171,Micheal,"10,619",Ida,"14,292"
172,Willard,"10,602",Lynne,"14,236"
173,Juan,"10,556",Deanna,"13,739"
174,Maurice,"10,477",Faye,"13,711"
175,Jessie,"10,321",Terry,"13,699"
176,Garry,"10,318",Valerie,"13,694"
177,Marshall,"10,241",Emily,"13,409"
178,Oscar,"10,186",Rachel,"13,409"
179,Edgar,"9,804",Lucy,"13,128"
180,Karl,"9,723",Janie,"13,119"
181,Marion,"9,668",Penny,"13,113"
182,Sidney,"9,609",Jackie,"13,090"
183,Stuart,"9,525",Harriet,"12,924"
184,Nathaniel,"9,490",Regina,"12,713"
185,Alexander,"9,478",Rosalie,"12,587"
186,Sammy,"9,360",Alma,"12,400"
187,Everett,"9,314",Angela,"12,259"
188,Benny,"9,302",Vera,"12,189"
189,Guy,"8,953",Jessie,"12,150"
190,Virgil,"8,949",Marianne,"11,946"
191,Morris,"8,804",Stephanie,"11,936"
192,Matthew,"8,760",Jill,"11,865"
193,Earnest,"8,706",Mattie,"11,781"
194,Lyle,"8,618",Minnie,"11,735"
195,Max,"8,525",Caroline,"11,625"
196,Bennie,"8,480",Michele,"11,606"
197,Wendell,"8,377",Veronica,"11,528"
198,Kent,"8,346",Patty,"11,417"
199,Jonathan,"8,296",Rosie,"11,404"
200,Fredrick,"8,231",Stella,"11,363"
"Source: 100% sample based on Social Security card application data as of 
   of March 2024.  See the limitations of
   this data source.",,,,
