Rank,Male Name,Number of Males,Female Name,Number of Females
1,Robert,"590,793",Mary,"572,995"
2,James,"547,475",Betty,"300,406"
3,John,"487,941",Barbara,"296,418"
4,William,"416,723",Shirley,"229,378"
5,Richard,"330,496",Patricia,"220,579"
6,Charles,"303,210",Dorothy,"210,413"
7,Donald,"283,710",Joan,"173,438"
8,George,"192,288",Margaret,"157,369"
9,Thomas,"183,872",Nancy,"142,484"
10,Joseph,"180,562",Helen,"140,425"
11,David,"164,699",Carol,"117,729"
12,Edward,"147,845",Joyce,"115,504"
13,Ronald,"140,332",Doris,"110,657"
14,Paul,"125,769",Ruth,"109,205"
15,Kenneth,"125,107",Virginia,"103,085"
16,Frank,"108,084",Marilyn,"98,531"
17,Raymond,"99,580",Elizabeth,"96,479"
18,Jack,"96,395",Jean,"94,186"
19,Harold,"95,466",Frances,"92,117"
20,Billy,"88,340",Beverly,"80,841"
21,Gerald,"82,816",Lois,"80,712"
22,Walter,"80,904",Alice,"78,968"
23,Jerry,"80,689",Donna,"78,846"
24,Joe,"71,467",Martha,"77,697"
25,Eugene,"70,940",Dolores,"77,136"
26,Henry,"70,418",Janet,"76,034"
27,Bobby,"69,416",Phyllis,"73,804"
28,Arthur,"67,729",Norma,"72,876"
29,Carl,"66,757",Carolyn,"69,525"
30,Larry,"65,248",Evelyn,"69,363"
31,Ralph,"63,801",Gloria,"68,588"
32,Albert,"62,828",Anna,"66,597"
33,Willie,"62,466",Marie,"65,801"
34,Fred,"56,162",Ann,"64,061"
35,Michael,"55,999",Mildred,"61,735"
36,Lawrence,"54,486",Rose,"59,108"
37,Harry,"53,116",Peggy,"56,272"
38,Roy,"51,495",Geraldine,"50,040"
39,Howard,"51,494",Catherine,"50,026"
40,Norman,"49,986",Judith,"49,905"
41,Roger,"49,611",Louise,"49,859"
42,Daniel,"47,997",Janice,"49,343"
43,Louis,"47,755",Marjorie,"49,212"
44,Earl,"44,613",Annie,"48,946"
45,Gary,"43,593",Ruby,"47,647"
46,Clarence,"42,676",Eleanor,"46,379"
47,Anthony,"42,544",Jane,"45,814"
48,Francis,"41,384",Sandra,"45,399"
49,Wayne,"41,140",Irene,"44,449"
50,Marvin,"41,084",Wanda,"43,073"
51,Ernest,"39,346",Elaine,"41,108"
52,Leonard,"39,214",June,"40,743"
53,Herbert,"37,823",Joanne,"40,579"
54,Melvin,"37,705",Rita,"38,740"
55,Stanley,"37,131",Florence,"37,940"
56,Leroy,"36,256",Delores,"37,603"
57,Don,"35,980",Lillian,"37,393"
58,Peter,"35,821",Marlene,"37,355"
59,Jimmy,"35,397",Edna,"36,973"
60,Alfred,"34,390",Sarah,"36,513"
61,Dale,"32,535",Patsy,"36,474"
62,Bill,"32,335",Lorraine,"36,334"
