Year,Name,Count
1959,Maria,1
1959,Mark,17
1959,Mary,48
1959,Michael,51
1960,David,51
1960,Deborah,1
1960,James,42
1960,John,40
1960,Maria,1
1960,Mark,21
1960,Mary,47
1960,Michael,51
1961,David,51
1961,Deborah,1
1961,Elizabeth,1
1961,James,41
1961,John,48
1961,Maria,1
1961,Mark,18
1961,Mary,45
1961,Michael,51
1962,David,50
1962,Elizabeth,1
1962,James,41
1962,John,49
1962,Maria,1
1962,Mark,16
1962,Mary,46
1962,Michael,51
1963,David,50
1963,James,44
1963,John,49
1963,Maria,1
1963,Mark,11
1963,Mary,46
1963,Michael,51
1964,David,50
1964,James,50
1964,John,49
1964,Maria,1
1964,Mark,3
1964,Mary,49
1964,Michael,51
1965,David,50
1965,Deborah,1
1965,James,50
1965,John,51
1965,Maria,1
1965,Mark,4
1965,Mary,46
1965,Michael,51
1966,David,49
1966,Elizabeth,2
1966,James,51
1966,John,50
1966,Maria,1
1966,Mark,1
1966,Mary,36
1966,Michael,51
1966,Timothy,1
1967,David,51
1967,James,48
1967,John,49
1967,Maria,2
1967,Mark,2
1967,Mary,25
1967,Michael,51
1968,David,50
1968,James,47
1968,John,50
1968,Maria,1
1968,Mark,5
1968,Mary,7
1968,Michael,51
1969,David,48
1969,Elizabeth,2
1969,James,46
1969,Jason,1
1969,John,45
1969,Maria,1
1969,Mark,1
1969,Mary,4
1969,Michael,51
1970,David,49
1970,James,48
1970,Jason,6
1970,John,42
1970,Maria,1
1970,Mary,3
1970,Michael,51
1971,David,46
1971,James,36
1971,Jason,13
1971,John,33
1971,Maria,1
1971,Mary,3
1971,Michael,51
1972,David,38
1972,James,28
1972,Jason,22
1972,John,22
1972,Maria,1
1972,Mary,1
1972,Michael,51
1973,David,28
1973,James,25
1973,Jason,39
1973,John,17
1973,Maria,2
1973,Matthew,1
1973,Michael,51
1973,Rebecca,2
1974,David,29
1974,James,22
1974,Jason,45
1974,John,20
1974,Maria,2
1974,Matthew,9
1974,Michael,51
1974,Rebecca,1
1974,Sarah,1
1975,David,28
1975,James,25
1975,Jason,47
1975,John,11
1975,Maria,2
1975,Matthew,12
1975,Michael,51
1975,Sarah,1
1976,David,30
1976,Elizabeth,1
1976,James,22
1976,Jason,49
1976,Jeremy,3
1976,John,11
1976,Joshua,2
1976,Maria,2
1976,Matthew,18
1976,Michael,51
1976,Sarah,6
1977,David,33
1977,Elizabeth,1
1977,James,23
1977,Jason,50
1977,Jeremy,2
1977,John,4
1977,Joshua,3
1977,Matthew,19
1977,Michael,51
1977,Sarah,14
1978,Daniel,1
1978,David,26
1978,Elizabeth,1
1978,James,22
1978,Jason,49
1978,John,10
1978,Joshua,6
1978,Matthew,22
1978,Michael,51
1978,Sarah,21
1979,Daniel,1
1979,David,29
1979,Elizabeth,3
1979,James,19
1979,Jason,47
1979,John,8
1979,Joseph,2
1979,Joshua,16
1979,Matthew,21
1979,Michael,51
1979,Sarah,20
1980,Daniel,2
1980,David,22
1980,Elizabeth,2
1980,James,20
1980,Jason,44
1980,John,6
1980,Joseph,1
1980,Joshua,27
1980,Maria,1
1980,Matthew,25
1980,Michael,51
1980,Sarah,31
1981,Andrew,1
1981,Daniel,1
1981,David,20
1981,Elizabeth,1
1981,James,17
1981,Jason,31
1981,John,5
1981,Jonathan,1
1981,Joseph,2
1981,Joshua,33
1981,Matthew,34
1981,Michael,51
1981,Sarah,35
1982,Andrew,1
1982,Daniel,4
1982,David,21
1982,Elizabeth,2
1982,James,18
1982,Jason,25
1982,John,6
1982,Joshua,31
1982,Matthew,34
1982,Michael,51
1982,Sarah,35
1983,Adam,1
1983,Andrew,2
1983,Daniel,9
1983,David,20
1983,Elizabeth,2
1983,James,16
1983,Jason,5
1983,John,2
1983,Joseph,1
1983,Joshua,29
1983,Matthew,48
1983,Michael,51
1983,Sarah,31
1984,Adam,2
1984,Andrew,1
1984,Daniel,10
1984,David,18
1984,Elizabeth,2
1984,James,15
1984,Jason,1
1984,John,2
1984,Joseph,2
1984,Joshua,36
1984,Matthew,49
1984,Michael,51
1984,Sarah,23
1985,Andrew,7
1985,Daniel,17
1985,David,15
1985,Elizabeth,1
1985,James,18
1985,Joseph,3
1985,Joshua,37
1985,Matthew,41
1985,Michael,51
1985,Sarah,17
1986,Andrew,15
1986,Daniel,13
1986,David,14
1986,James,11
1986,John,1
1986,Joseph,3
1986,Joshua,35
1986,Matthew,47
1986,Michael,51
1986,Sarah,35
1987,Andrew,20
1987,Daniel,8
1987,David,12
1987,James,13
1987,John,1
1987,Joseph,2
1987,Joshua,38
1987,Matthew,45
1987,Michael,51
1987,Sarah,37
1988,Andrew,21
1988,Daniel,11
1988,David,7
1988,Elizabeth,1
1988,Jacob,1
1988,James,11
1988,John,1
1988,Joseph,2
1988,Joshua,44
1988,Matthew,40
1988,Michael,51
1988,Sarah,38
1989,Andrew,21
1989,Daniel,9
1989,David,6
1989,Elizabeth,1
1989,Jacob,3
1989,James,12
1989,Joseph,2
1989,Joshua,41
1989,Matthew,41
1989,Michael,51
1989,Sarah,33
1990,Andrew,13
1990,Daniel,8
1990,David,7
1990,Jacob,6
1990,James,10
1990,Joseph,2
1990,Joshua,40
1990,Matthew,41
1990,Michael,51
1990,Sarah,20
1991,Andrew,6
1991,Daniel,8
1991,David,2
1991,Elizabeth,1
1991,Jacob,13
1991,James,13
1991,John,1
1991,Joseph,2
1991,Joshua,41
1991,Matthew,37
1991,Michael,51
1991,Sarah,27
1992,Andrew,2
1992,Daniel,7
1992,David,3
1992,Elizabeth,2
1992,Jacob,14
1992,James,13
1992,John,1
1992,Joseph,2
1992,Joshua,35
1992,Matthew,29
1992,Michael,50
1992,Sarah,31
1992,Zachary,4
1993,Andrew,1
1993,Daniel,4
1993,David,2
1993,Elizabeth,2
1993,Jacob,18
1993,James,9
1993,John,2
1993,Joseph,2
1993,Joshua,30
1993,Matthew,25
1993,Michael,50
1993,Sarah,32
1993,Zachary,5
1994,Daniel,6
1994,David,1
1994,Hannah,1
1994,Jacob,28
1994,James,8
1994,John,1
1994,Joseph,1
1994,Joshua,22
1994,Matthew,21
1994,Michael,46
1994,Sarah,31
1994,Zachary,6
1995,Andrew,2
1995,Daniel,4
1995,David,2
1995,Hannah,16
1995,Jacob,31
1995,James,5
1995,John,3
1995,Joseph,1
1995,Joshua,25
1995,Matthew,24
1995,Michael,41
1995,Rachel,2
1995,Sarah,22
1995,Zachary,4
1996,Andrew,3
1996,Daniel,4
1996,David,3
1996,Hannah,26
1996,Jacob,32
1996,James,4
1996,John,4
1996,Joseph,2
1996,Joshua,18
1996,Matthew,21
1996,Michael,42
1996,Rachel,4
1996,Sarah,24
1996,Zachary,7
1997,Abigail,1
1997,Andrew,3
1997,Anna,1
1997,Daniel,5
1997,David,2
1997,Elizabeth,1
1997,Hannah,37
1997,Jacob,39
1997,James,5
1997,John,3
1997,Joseph,2
1997,Joshua,20
1997,Matthew,24
1997,Michael,42
1997,Rachel,1
1997,Sarah,31
1997,Zachary,5
1998,Andrew,2
1998,Anna,1
1998,Daniel,3
1998,David,1
1998,Elizabeth,1
1998,Hannah,36
1998,Jacob,43
1998,James,2
1998,John,2
1998,Joseph,3
1998,Joshua,24
1998,Julia,2
1998,Matthew,28
